mlsfc,fclt_name,sgnr_nm,legalemd_nm
공공도서관,용인시 흥덕도서관,용인시 기흥구,영덕동
공공도서관,용인시구갈희망누리도서관,용인시 기흥구,구갈동
공공도서관,용인시구성도서관,용인시 기흥구,언남동
공공도서관,상현도서관,용인시 수지구,상현동
공공도서관,용인시수지도서관,용인시 수지구,풍덕천동
공공도서관,용인시죽전도서관,용인시 수지구,죽전동
공공도서관,남사도서관,용인시 처인구,남사면 아곡리
공공도서관,용인시 모현도서관,용인시 처인구,모현읍 왕산리
공공도서관,용인시 청덕도서관,용인시 처인구,청덕동
공공도서관,용인시디지털정보도서관,용인시 처인구,삼가동
공공도서관,용인시양지해밀도서관,용인시 처인구,양지면 양지리
공공도서관,용인시포곡도서관,용인시 처인구,포곡읍 삼계리
공공도서관,용인중앙도서관,용인시 처인구,역북동
공공도서관,이동꿈틀도서관,용인시 처인구,이동읍 송전리
공공도서관,의왕시글로벌도서관,의왕시,오전동
공공도서관,의왕시내손도서관,의왕시,내손동
공공도서관,의왕시중앙도서관,의왕시,고천동
공공도서관,가재울도서관,의정부시,성산동
공공도서관,의정부과학도서관,의정부시,신곡동
공공도서관,의정부어린이도서관,의정부시,호원동
공공도서관,이천시 어린이도서관,이천시,중리동
공공도서관,이천시립도서관,이천시,창전동
공공도서관,이천시립마장도서관,이천시,마장면 오천리
공공도서관,이천시립효양도서관,이천시,부발읍 신하리
공공도서관,이천시청미도서관,이천시,장호원읍 장호원리
공공도서관,가람도서관,파주시,와동동
공공도서관,교하도서관,파주시,동패동
공공도서관,금촌3동솔빛도서관,파주시,아동동
공공도서관,물푸레도서관,파주시,청덕동
공공도서관,적성도서관,파주시,적성면 마지리
공공도서관,조리도서관,파주시,조리읍 봉일천리
공공도서관,탄현도서관,파주시,탄현면 축현리
공공도서관,파주시립중앙도서관금촌분관,파주시,금촌동
공공도서관,파주시립중앙도서관문산분관,파주시,문산읍 문산리
공공도서관,파주시립중앙도서관법원분관,파주시,법원읍 법원리
공공도서관,파주시중앙도서관,파주시,금촌동
공공도서관,파평도서관,파주시,파평면 금파리
공공도서관,한빛도서관,파주시,야당동
공공도서관,한울도서관,파주시,동패동
공공도서관,해솔도서관,파주시,목동동
공공도서관,행복어린이도서관,파주시,문산읍 선유리
공공도서관,평택시립 진위도서관,평택시,진위면 견산리
공공도서관,평택시립도서관 팽성분관,평택시,팽성읍 안정리
공공도서관,평택시립배다리도서관,평택시,죽백동
공공도서관,평택시립세교도서관,평택시,세교동
공공도서관,평택시립안중도서관,평택시,안중읍 학현리
공공도서관,평택시립오성도서관,평택시,오성면 숙성리
공공도서관,평택시립장당도서관,평택시,장당동
공공도서관,평택시립지산초록도서관,평택시,지산동
공공도서관,평택시립청북도서관,평택시,청북읍 옥길리
공공도서관,포천시립가산도서관,포천시,가산면 마산리
공공도서관,포천시립소흘도서관,포천시,소흘읍 송우리
공공도서관,포천시립영북도서관,포천시,영북면 운천리
공공도서관,포천시립영중꿈나무도서관,포천시,영중면 양문리
공공도서관,포천시립일동도서관,포천시,일동면 기산리
공공도서관,포천시립중앙도서관,포천시,신북면 가채리
공공도서관,하남시 나룰도서관,하남시,덕풍동
공공도서관,하남시 덕풍도서관,하남시,덕풍동
공공도서관,하남시세미도서관,하남시,풍산동
공공도서관,하남시신장도서관,하남시,신장동
공공도서관,동탄복합문화센터도서관,화성시,반송동
공공도서관,두빛나래 어린이도서관,화성시,능동
공공도서관,봉담도서관,화성시,봉담읍 상리
공공도서관,정남도서관,화성시,정남면 발산리
공공도서관,화성시 동탄중앙이음터도서관,화성시,청계동
공공도서관,화성시 진안도서관,화성시,진안동
공공도서관,화성시남양도서관,화성시,남양읍 남양리
공공도서관,화성시립둥지나래어린이도서관,화성시,향남읍 행정리
공공도서관,화성시립송산도서관,화성시,송산면 사강리
공공도서관,화성시병점도서관,화성시,병점동
공공도서관,화성시삼괴도서관,화성시,우정읍 조암리
공공도서관,화성시태안도서관,화성시,안녕동
공공도서관,강릉교육문화관,강릉시,노암동
공공도서관,명주교육도서관,강릉시,주문진읍 교항리
공공도서관,고성교육도서관,고성군,거진읍 거진리
공공도서관,동해교육도서관,동해시,부곡동
공공도서관,삼척교육문화관,삼척시,당저동
공공도서관,속초교육도서관,속초시,교동
공공도서관,속초교육문화관,속초시,금호동
공공도서관,양구교육도서관,양구군,양구읍 정림리
공공도서관,양양교육도서관,양양군,양양읍 군행리
공공도서관,영월교육도서관,영월군,영월읍 하송리
공공도서관,문막교육도서관,원주시,문막읍 문막리
공공도서관,원주교육문화관,원주시,단계동
공공도서관,인제교육도서관,인제군,인제읍 상동리
공공도서관,정선교육도서관,정선군,정선읍 봉양리
공공도서관,철원교육도서관,철원군,철원읍 화지리
공공도서관,춘성교육도서관,춘천시,신북읍 율문리
공공도서관,춘천교육문화관,춘천시,중앙로3가
공공도서관,태백교육도서관,태백시,황지동
공공도서관,평창교육도서관,평창군,평창읍 하리
공공도서관,홍천교육도서관,홍천군,홍천읍 신장대리
공공도서관,화천교육도서관,화천군,화천읍 하리
공공도서관,횡성교육도서관,횡성군,횡성읍 읍하리
공공도서관,담작은도서관,춘천시,효자동
공공도서관,강릉시립중앙도서관,강릉시,포남동
공공도서관,모루도서관,강릉시,교동
공공도서관,고성군립도서관,고성군,고성읍 송학리
공공도서관,토성공공도서관,고성군,토성면 천진리
공공도서관,동해시립발한도서관,동해시,발한동
공공도서관,동해시립북삼도서관,동해시,동회동
공공도서관,삼척도계도서관,삼척시,도계읍 도계리
공공도서관,삼척원덕도서관,삼척시,원덕읍 호산리
공공도서관,속초시립도서관,속초시,조양동
공공도서관,영월주천도서관,영월군,주천면 주천리
공공도서관,중천철학도서관,원주시,흥업면 흥업리
공공도서관,원통도서관,인제군,북면 원통리
공공도서관,사북공공도서관,정선군,사북읍 사북리
공공도서관,관전도서관,철원군,철원읍 화지리
공공도서관,철원갈말도서관,철원군,갈말읍 지포리
공공도서관,철원김화도서관,철원군,서면 와수리
공공도서관,소양도서관,춘천시,후평동
공공도서관,춘천남산도서관,춘천시,남산면 방곡리
공공도서관,춘천동내도서관,춘천시,동내면 학곡리
공공도서관,춘천시립도서관,춘천시,석사동
공공도서관,춘천시립분관서면도서관,춘천시,서면 금산리
공공도서관,춘천시립청소년도서관,춘천시,삼천동
공공도서관,춘천신사우동도서관,춘천시,우두동
공공도서관,태백산소드림도서관,태백시,황지동
공공도서관,태백시립도서관,태백시,장성동
공공도서관,평창군립대관령도서관,평창군,대관령면 횡계리
공공도서관,평창군립대화도서관,평창군,대화면 대화리
공공도서관,평창군립봉평도서관,평창군,봉평면 창동리
공공도서관,평창군립진부도서관,평창군,진부면 하진부리
공공도서관,홍천연봉도서관,홍천군,홍천읍 연봉리
공공도서관,화천어린이도서관,화천군,화천읍 하리
공공도서관,둔내태성도서관,횡성군,둔내면 둔방내리
공공도서관,횡성군립도서관,횡성군,횡성읍 읍하리
공공도서관,괴산교육도서관,괴산군,괴산읍 서부리
공공도서관,단양교육도서관,단양군,단양읍 상진리
공공도서관,보은교육도서관,보은군,보은읍 삼산리
공공도서관,영동교육도서관,영동군,영동읍 부용리
공공도서관,옥천교육도서관,옥천군,옥천읍 금구리
공공도서관,금왕교육도서관,음성군,금왕읍 무극리
공공도서관,음성교육도서관,음성군,음성읍 읍내리
공공도서관,제천학생회관,제천시,화산동
공공도서관,증평교육도서관,증평군,증평읍 증평리
공공도서관,진천교육도서관,진천군,진천읍 읍내리
공공도서관,미원교육도서관,청주시 상당구,미원면 미원리
공공도서관,충청북도교육도서관,청주시 서원구,사직동
공공도서관,충청북도교육문화원,청주시 청원구,주중동
공공도서관,중원교육도서관,충주시,주덕읍 신중리
